Time: 3807.00, Colonized: 24, Detected: 13, Isolated: 13
Time: 3807.00, Colonized: 24, Detected: 13, Isolated: 13
Time: 3808.00, Colonized: 26, Detected: 14, Isolated: 14
Time: 3808.00, Colonized: 26, Detected: 14, Isolated: 14
Time: 3809.00, Colonized: 26, Detected: 14, Isolated: 14
Time: 3809.00, Colonized: 26, Detected: 14, Isolated: 14
Time: 3810.00, Colonized: 26, Detected: 15, Isolated: 15
Time: 3810.00, Colonized: 26, Detected: 15, Isolated: 15
Time: 3811.00, Colonized: 26, Detected: 15, Isolated: 15
Time: 3811.00, Colonized: 26, Detected: 15, Isolated: 15
Time: 3812.00, Colonized: 29, Detected: 16, Isolated: 16
Time: 3812.00, Colonized: 29, Detected: 16, Isolated: 16
Time: 3813.00, Colonized: 29, Detected: 16, Isolated: 16
Time: 3813.00, Colonized: 29, Detected: 16, Isolated: 16
Time: 3814.00, Colonized: 28, Detected: 14, Isolated: 14
Time: 3814.00, Colonized: 28, Detected: 14, Isolated: 14
Time: 3815.00, Colonized: 26, Detected: 12, Isolated: 12
Time: 3815.00, Colonized: 26, Detected: 12, Isolated: 12
Time: 3816.00, Colonized: 26, Detected: 13, Isolated: 13
Time: 3816.00, Colonized: 26, Detected: 13, Isolated: 13
Time: 3817.00, Colonized: 27, Detected: 14, Isolated: 14
Time: 3817.00, Colonized: 27, Detected: 14, Isolated: 14
Time: 3818.00, Colonized: 25, Detected: 15, Isolated: 15
Time: 3818.00, Colonized: 25, Detected: 15, Isolated: 15
Time: 3819.00, Colonized: 28, Detected: 15, Isolated: 15
Time: 3819.00, Colonized: 28, Detected: 15, Isolated: 15
Time: 3820.00, Colonized: 28, Detected: 15, Isolated: 15
Time: 3820.00, Colonized: 28, Detected: 15, Isolated: 15
Time: 3821.00, Colonized: 24, Detected: 13, Isolated: 13
Time: 3821.00, Colonized: 24, Detected: 13, Isolated: 13
Time: 3822.00, Colonized: 25, Detected: 14, Isolated: 14
Time: 3822.00, Colonized: 25, Detected: 14, Isolated: 14
Time: 3823.00, Colonized: 26, Detected: 14, Isolated: 14
Time: 3823.00, Colonized: 26, Detected: 14, Isolated: 14
Time: 3824.00, Colonized: 28, Detected: 16, Isolated: 16
Time: 3824.00, Colonized: 28, Detected: 16, Isolated: 16
Time: 3825.00, Colonized: 27, Detected: 17, Isolated: 17
Time: 3825.00, Colonized: 27, Detected: 17, Isolated: 17
Time: 3826.00, Colonized: 27, Detected: 19, Isolated: 19
Time: 3826.00, Colonized: 27, Detected: 19, Isolated: 19
Time: 3827.00, Colonized: 28, Detected: 19, Isolated: 19
Time: 3827.00, Colonized: 28, Detected: 19, Isolated: 19
Time: 3828.00, Colonized: 27, Detected: 19, Isolated: 19
Time: 3828.00, Colonized: 27, Detected: 19, Isolated: 19
Time: 3829.00, Colonized: 27, Detected: 18, Isolated: 18
Time: 3829.00, Colonized: 27, Detected: 18, Isolated: 18
Time: 3830.00, Colonized: 27, Detected: 18, Isolated: 18
Time: 3830.00, Colonized: 27, Detected: 18, Isolated: 18
Time: 3831.00, Colonized: 23, Detected: 17, Isolated: 17
Time: 3831.00, Colonized: 23, Detected: 17, Isolated: 17
Time: 3832.00, Colonized: 24, Detected: 16, Isolated: 16
Time: 3832.00, Colonized: 24, Detected: 16, Isolated: 16
Time: 3833.00, Colonized: 25, Detected: 16, Isolated: 16
Time: 3833.00, Colonized: 25, Detected: 16, Isolated: 16
Time: 3834.00, Colonized: 23, Detected: 15, Isolated: 15
Time: 3834.00, Colonized: 23, Detected: 15, Isolated: 15
Time: 3835.00, Colonized: 23, Detected: 14, Isolated: 14
Time: 3835.00, Colonized: 23, Detected: 14, Isolated: 14
Time: 3836.00, Colonized: 23, Detected: 13, Isolated: 13
Time: 3836.00, Colonized: 23, Detected: 13, Isolated: 13
Time: 3837.00, Colonized: 25, Detected: 13, Isolated: 13
Time: 3837.00, Colonized: 25, Detected: 13, Isolated: 13
Time: 3838.00, Colonized: 25, Detected: 15, Isolated: 15
Time: 3838.00, Colonized: 25, Detected: 15, Isolated: 15
Time: 3839.00, Colonized: 27, Detected: 15, Isolated: 15
Time: 3839.00, Colonized: 27, Detected: 15, Isolated: 15
Time: 3840.00, Colonized: 27, Detected: 15, Isolated: 15
Time: 3840.00, Colonized: 27, Detected: 15, Isolated: 15
Time: 3841.00, Colonized: 30, Detected: 17, Isolated: 17
Time: 3841.00, Colonized: 30, Detected: 17, Isolated: 17
Time: 3842.00, Colonized: 29, Detected: 15, Isolated: 15
Time: 3842.00, Colonized: 29, Detected: 15, Isolated: 15
Time: 3843.00, Colonized: 32, Detected: 16, Isolated: 16
Time: 3843.00, Colonized: 32, Detected: 16, Isolated: 16
Time: 3844.00, Colonized: 34, Detected: 16, Isolated: 16
Time: 3844.00, Colonized: 34, Detected: 16, Isolated: 16
Time: 3845.00, Colonized: 33, Detected: 16, Isolated: 16
Time: 3845.00, Colonized: 33, Detected: 16, Isolated: 16
Time: 3846.00, Colonized: 35, Detected: 17, Isolated: 17
Time: 3846.00, Colonized: 35, Detected: 17, Isolated: 17
Time: 3847.00, Colonized: 34, Detected: 18, Isolated: 18
Time: 3847.00, Colonized: 34, Detected: 18, Isolated: 18
Time: 3848.00, Colonized: 34, Detected: 18, Isolated: 18
Time: 3848.00, Colonized: 34, Detected: 18, Isolated: 18
Time: 3849.00, Colonized: 36, Detected: 19, Isolated: 19
Time: 3849.00, Colonized: 36, Detected: 19, Isolated: 19
Time: 3850.00, Colonized: 40, Detected: 19, Isolated: 19
Time: 3850.00, Colonized: 40, Detected: 19, Isolated: 19
Time: 3851.00, Colonized: 42, Detected: 21, Isolated: 21
Time: 3851.00, Colonized: 42, Detected: 21, Isolated: 21
Time: 3852.00, Colonized: 43, Detected: 22, Isolated: 22
Time: 3852.00, Colonized: 43, Detected: 22, Isolated: 22
Time: 3853.00, Colonized: 42, Detected: 23, Isolated: 23
Time: 3853.00, Colonized: 42, Detected: 23, Isolated: 23
Time: 3854.00, Colonized: 42, Detected: 23, Isolated: 23
Time: 3854.00, Colonized: 42, Detected: 23, Isolated: 23
Time: 3855.00, Colonized: 40, Detected: 24, Isolated: 24
Time: 3855.00, Colonized: 40, Detected: 24, Isolated: 24
Time: 3856.00, Colonized: 42, Detected: 24, Isolated: 24
Time: 3856.00, Colonized: 42, Detected: 24, Isolated: 24
Time: 3857.00, Colonized: 41, Detected: 25, Isolated: 25
Time: 3857.00, Colonized: 41, Detected: 25, Isolated: 25
Time: 3858.00, Colonized: 39, Detected: 25, Isolated: 25
Time: 3858.00, Colonized: 39, Detected: 25, Isolated: 25
Time: 3859.00, Colonized: 42, Detected: 25, Isolated: 25
Time: 3859.00, Colonized: 42, Detected: 25, Isolated: 25
Time: 3860.00, Colonized: 41, Detected: 23, Isolated: 23
Time: 3860.00, Colonized: 41, Detected: 23, Isolated: 23
Time: 3861.00, Colonized: 40, Detected: 24, Isolated: 24
Time: 3861.00, Colonized: 40, Detected: 24, Isolated: 24
Time: 3862.00, Colonized: 39, Detected: 25, Isolated: 25
Time: 3862.00, Colonized: 39, Detected: 25, Isolated: 25
Time: 3863.00, Colonized: 42, Detected: 28, Isolated: 28
Time: 3863.00, Colonized: 42, Detected: 28, Isolated: 28
Time: 3864.00, Colonized: 42, Detected: 29, Isolated: 29
Time: 3864.00, Colonized: 42, Detected: 29, Isolated: 29
Time: 3865.00, Colonized: 41, Detected: 29, Isolated: 29
Time: 3865.00, Colonized: 41, Detected: 29, Isolated: 29
Time: 3866.00, Colonized: 40, Detected: 31, Isolated: 31
Time: 3866.00, Colonized: 40, Detected: 31, Isolated: 31
Time: 3867.00, Colonized: 38, Detected: 29, Isolated: 29
Time: 3867.00, Colonized: 38, Detected: 29, Isolated: 29
Time: 3868.00, Colonized: 42, Detected: 30, Isolated: 30
Time: 3868.00, Colonized: 42, Detected: 30, Isolated: 30
Time: 3869.00, Colonized: 44, Detected: 30, Isolated: 30
